Region,Contract End Date,Gender,Variation_Out,Contract Terminatio Reason,Seniority_class,Age_class,Qty_Z1_Days,Qty_Z2_Days,Qty_Z3_Days,Qty_P1_Days,Qty_P2_Days,Qty_P3_Days,Qty_A1_Days,Qty_A2_Days,unique ID
Région Flamande,2016-04-09,Homme,Out,Fin du contrat,>6_years,30-40,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,4
Région Flamande,2016-04-09,Homme,Out,Fin du contrat,>6_years,40-50,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,4
Région Flamande,2016-04-09,Homme,Out,Fin du contrat,>6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,2
Région Flamande,2016-04-10,Femme,Out,Fin du contrat,>6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2016-04-10,Femme,Out,Fin du contrat,>6_years,30-40,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2016-04-10,Femme,Out,Fin du contrat,>6_years,40-50,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,2
Région Flamande,2016-04-10,Femme,Out,Fin du contrat,>6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2016-04-10,Homme,Out,Fin du contrat,>6_years,20-25,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2016-04-10,Homme,Out,Fin du contrat,>6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,3
Région Flamande,2016-04-10,Homme,Out,Fin du contrat,>6_years,30-40,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,3
Région Flamande,2016-04-10,Homme,Out,Fin du contrat,>6_years,40-50,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,7
Région Flamande,2016-04-10,Homme,Out,Fin du contrat,>6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,2
Région Flamande,2016-04-11,Femme,Out,Fin du contrat,>6_years,30-40,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,2
Région Flamande,2016-04-11,Femme,Out,Fin du contrat,>6_years,40-50,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,4
Région Flamande,2016-04-11,Homme,Out,Fin du contrat,>6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2016-04-11,Homme,Out,Fin du contrat,>6_years,30-40,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,2
Région Flamande,2016-04-11,Homme,Out,Fin du contrat,>6_years,40-50,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,3
Région Flamande,2016-04-11,Homme,Out,Fin du contrat,>6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,2
Région Flamande,2016-04-12,Homme,Out,Fin du contrat,>6_years,30-40,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,2
Région Flamande,2016-04-12,Homme,Out,Fin du contrat,>6_years,40-50,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,3
Région Flamande,2016-04-12,Homme,Out,Fin du contrat,>6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,2
Région Flamande,2016-04-13,Femme,Out,Fin du contrat,>6_years,20-25,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,2
Région Flamande,2016-04-13,Femme,Out,Fin du contrat,>6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2016-04-13,Femme,Out,Fin du contrat,>6_years,30-40,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2016-04-13,Femme,Out,Fin du contrat,>6_years,40-50,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,2
Région Flamande,2016-04-13,Femme,Out,Fin du contrat,>6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2016-04-13,Homme,Out,Fin du contrat,>6_years,30-40,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,2
Région Flamande,2016-04-13,Homme,Out,Fin du contrat,>6_years,40-50,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,2
Région Flamande,2016-04-14,Femme,Out,Fin du contrat,>6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,2
Région Flamande,2016-04-14,Femme,Out,Fin du contrat,>6_years,30-40,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,3
Région Flamande,2016-04-14,Femme,Out,Fin du contrat,>6_years,40-50,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,2
Région Flamande,2016-04-14,Homme,Out,Fin du contrat,>6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2016-04-14,Homme,Out,Fin du contrat,>6_years,30-40,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2016-04-14,Homme,Out,Fin du contrat,>6_years,40-50,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2016-04-15,Femme,Out,Fin du contrat,>6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,5
Région Flamande,2016-04-15,Femme,Out,Fin du contrat,>6_years,30-40,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,15
Région Flamande,2016-04-15,Femme,Out,Fin du contrat,>6_years,40-50,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,18
Région Flamande,2016-04-15,Femme,Out,Fin du contrat,>6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,14
Région Flamande,2016-04-15,Femme,Out,Préavis travailleur,>6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2016-04-15,Homme,Out,Fin du contrat,>6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,3
Région Flamande,2016-04-15,Homme,Out,Fin du contrat,>6_years,30-40,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,10
Région Flamande,2016-04-15,Homme,Out,Fin du contrat,>6_years,40-50,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,16
Région Flamande,2016-04-15,Homme,Out,Fin du contrat,>6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,6
Région Flamande,2016-04-16,Femme,Out,Fin du contrat,>6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,2
Région Flamande,2016-04-16,Femme,Out,Fin du contrat,>6_years,30-40,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2016-04-16,Femme,Out,Fin du contrat,>6_years,40-50,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2016-04-16,Homme,Out,Fin du contrat,>6_years,20-25,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2016-04-16,Homme,Out,Fin du contrat,>6_years,40-50,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2016-04-16,Homme,Out,Fin du contrat,>6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2016-04-17,Femme,Out,Fin du contrat,>6_years,40-50,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2016-04-17,Femme,Out,Fin du contrat,>6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
